codigo,dt,moeda,saldo_raw,saldo_real,fator
7557,1991-06-15,CRUZEIRO (novo),239133.4,0.0869576,2750000.0
272,1994-02-28,CRUZEIRO REAL,229867.03,83.58801090909091,2750.0
480,1987-12-30,CRUZADO,221772.14,8.064441454545455e-05,2750000000.0
7601,1988-08-05,CRUZADO,204896.74,7.450790545454546e-05,2750000000.0
7535,1991-06-15,CRUZEIRO (novo),195974.01,0.07126327636363636,2750000.0
5802,1987-03-30,CRUZADO,185885.34,6.759466909090909e-05,2750000000.0
814,1987-07-30,CRUZADO,180835.32,6.575829818181819e-05,2750000000.0
7538,1991-01-15,CRUZEIRO (novo),174893.92,0.06359778909090909,2750000.0
5482,1987-06-30,CRUZADO,169340.04,6.157819636363637e-05,2750000000.0
7184,1987-12-30,CRUZADO,167044.39,6.074341454545455e-05,2750000000.0
7309,1987-12-30,CRUZADO,162820.17,5.920733454545455e-05,2750000000.0
7023,1993-09-30,CRUZEIRO REAL,161831.34,58.84776,2750.0
7591,1988-06-05,CRUZADO,122179.37,4.442886181818182e-05,2750000000.0
6454,1990-01-30,CRUZADO NOVO,121631.75,0.044229727272727275,2750000.0
5012,1986-11-30,CRUZADO,107212.78,3.898646545454545e-05,2750000000.0
6828,1986-07-30,CRUZADO,105599.19,3.839970545454546e-05,2750000000.0
6548,1987-02-28,CRUZADO,105273.68,3.828133818181818e-05,2750000000.0
006152,1986-12-30,CRUZADO,104041.18,3.783315636363636e-05,2750000000.0
6620,1986-12-30,CRUZADO,103440.4,3.761469090909091e-05,2750000000.0
7512,1993-11-15,CRUZEIRO REAL,100414.64,36.51441454545454,2750.0
5888,1986-12-30,CRUZADO,87114.27,3.167791636363636e-05,2750000000.0
7556,1990-09-15,CRUZEIRO (novo),79101.8,0.028764290909090908,2750000.0
7549,1990-06-15,CRUZEIRO (novo),70084.12,0.025485134545454546,2750000.0
5708,1986-12-30,CRUZADO,69514.62,2.5278043636363638e-05,2750000000.0
5855,1986-12-30,CRUZADO,69206.1,2.5165854545454544e-05,2750000000.0
110,1990-02-28,CRUZADO NOVO,66499.03,0.024181465454545456,2750000.0
741,1986-12-15,CRUZADO,52693.75,1.9161363636363637e-05,2750000000.0
942,1990-02-15,CRUZADO NOVO,50142.35,0.01823358181818182,2750000.0
5189,1989-10-30,CRUZADO NOVO,44108.74,0.01603954181818182,2750000.0
7555,1987-08-05,CRUZADO,43725.07,1.5900025454545454e-05,2750000000.0
1628,1986-11-30,CRUZADO,42727.38,1.5537229090909092e-05,2750000000.0
386,1986-10-30,CRUZADO,40203.18,1.4619338181818182e-05,2750000000.0
5815,1989-12-30,CRUZADO NOVO,38643.36,0.01405213090909091,2750000.0
5185,1989-11-30,CRUZADO NOVO,38556.35,0.014020490909090908,2750000.0
627,1986-04-30,CRUZADO,36627.18,1.3318974545454545e-05,2750000000.0
523,1986-07-15,CRUZADO,35057.06,1.2748021818181819e-05,2750000000.0
858,1990-01-15,CRUZADO NOVO,33896.05,0.012325836363636364,2750000.0
6045,1989-09-30,CRUZADO NOVO,29740.67,0.010814789090909091,2750000.0
156,1986-07-15,CRUZADO,15281.14,5.5567781818181816e-06,2750000000.0
7246,1989-11-30,CRUZADO NOVO,14689.4,0.0053416,2750000.0
6584,1989-04-30,CRUZADO NOVO,11478.83,0.00417412,2750000.0
5760,1989-09-30,CRUZADO NOVO,11349.14,0.00412696,2750000.0
623,1989-11-30,CRUZADO NOVO,11204.32,0.004074298181818182,2750000.0
339,1987-04-30,CRUZADO,10532.33,3.829938181818182e-06,2750000000.0
625,1989-11-30,CRUZADO NOVO,9490.62,0.0034511345454545455,2750000.0
5114,1989-05-30,CRUZADO NOVO,8723.92,0.0031723345454545454,2750000.0
568,1989-10-30,CRUZADO NOVO,8419.23,0.003061538181818182,2750000.0
422,1989-08-30,CRUZADO NOVO,7687.73,0.002795538181818182,2750000.0
5437,1989-05-30,CRUZADO NOVO,7336.67,0.00266788,2750000.0
6596,1989-02-28,CRUZADO NOVO,7008.7,0.002548618181818182,2750000.0
6716,1989-01-30,CRUZADO NOVO,6436.65,0.0023406,2750000.0
780,1989-04-30,CRUZADO NOVO,5838.48,0.0021230836363636363,2750000.0
416,1989-08-15,CRUZADO NOVO,4891.06,0.0017785672727272728,2750000.0
7593,1989-12-15,CRUZADO NOVO,4665.03,0.0016963745454545455,2750000.0
5255,1989-03-30,CRUZADO NOVO,4647.23,0.0016899018181818182,2750000.0
7586,1989-11-15,CRUZADO NOVO,4353.93,0.0015832472727272727,2750000.0
7376,1989-06-30,CRUZADO NOVO,4191.27,0.0015240981818181818,2750000.0
353,1989-05-30,CRUZADO NOVO,2714.04,0.0009869236363636363,2750000.0
394,1989-07-15,CRUZADO NOVO,2680.69,0.0009747963636363636,2750000.0
4095,1989-04-15,CRUZADO NOVO,2102.12,0.0007644072727272728,2750000.0
7514,1989-07-15,CRUZADO NOVO,2090.32,0.0007601163636363637,2750000.0
285,1989-02-28,CRUZADO NOVO,1963.84,0.0007141236363636364,2750000.0
289,1989-04-28,CRUZADO NOVO,1178.85,0.0004286727272727273,2750000.0
